CRDC	Pad#	slope	intercept
0	102	0.9054	81.995
0	103	0.4915	356.62
0	104	1.1442	-117.71
0	105	0.5392	310.58
0	106	1.5008	-346.48
0	107	0.292	489.39
0	108	0.5843	298.01
0	109	0.8798	83.048
0	110	1	0
0	111	0.9393	43.595
0	112	0.1497	583.44
0	113	0.9474	30.794
0	114	0.7726	152.96
0	115	0.6557	235.14
0	116	1.1166	-88.201
0	117	1.3135	-213.69
0	118	0.5111	357.71
0	119	1.09	-54.459
0	120	0.8251	124.21
0	121	0.6278	254.28
0	122	0.5277	342.69
0	123	0.3079	490.45
0	124	0.8012	157.72
0	125	0.6265	275.44
0	126	0.4809	372.56
0	127	0.7522	200.27
0	128	0.7453	201.72
0	129	0.8843	105.65
0	130	1.111	-51.673
0	131	0.8644	88.427
0	132	0.8724	93.236
0	133	1.0906	-53.345
0	134	1.207	-134.03
0	135	1.0613	-26.869
0	136	0.6883	227.96
0	137	0.8817	105.39
0	138	0.6139	286.11
0	139	1.1554	-88.276
0	140	0.987	29.051
0	141	0.8224	139.66
0	142	0.5715	316.73
0	143	0.9144	130.57
0	144	0.936	160.4
0	145	0.9626	152.8
0	146	0.7486	266.61
0	147	0.7318	277.39
0	148	0.6496	315.63
0	149	0.9938	120.07
0	150	1.0407	63.168
0	151	0.5221	373.04
0	152	1.0721	43.391
0	153	0.897	155.95
0	154	1.066	64.589
0	155	0.5642	360.83
0	156	0.7104	266.63
0	157	1.2957	-96.775
0	158	1.0299	83.64
0	159	1	0
0	160	0.5497	326.78
0	161	0.7947	146.38
0	162	1.2235	-166.33
0	163	1.0509	-55.463
0	164	0.8345	112.33
0	165	1.0317	-32.203
0	166	1.0573	-43.126
0	167	0.827	130.35
0	168	1.0047	-13.385
0	169	1.4568	-331.48
0	170	1.3687	-262.69
0	171	0.8447	109.06
0	172	0.9423	32.575
0	173	0.8805	83.374
0	174	0.9865	3.9588
0	175	1.0504	-25.708
0	176	0.746	226.21
0	177	0.7269	232.29
0	178	0.7537	211.15
0	179	0.971	60.644
0	180	0.7937	181.63
0	181	0.7422	222.15
0	182	0.7974	173.72
0	183	0.7493	207.29
0	184	0.8279	153.38
0	185	1	0
0	186	0.4217	400.32
0	187	1	0
0	188	1	0
0	189	1	0
0	190	1	0
0	191	1	0
0	192	1	0
0	193	1	0
0	194	1	0
0	195	1	0
0	196	1	0
0	197	1	0
0	198	1	0
0	199	1	0
0	200	1	0
0	201	1	0
0	202	1	0
0	203	1	0
0	204	1	0
0	205	1	0
0	206	1	0
0	207	1	0
0	208	1	0
0	209	1	0
0	210	1	0
0	211	1	0
0	212	1	0
0	213	1	0
0	214	1	0
0	215	1	0
0	216	1	0
0	217	1	0
0	218	1	0
0	219	1	0
0	220	1	0
0	221	1	0
0	222	1	0
0	223	1	0
1	0	1	0
1	1	1	0
1	2	1	0
1	3	1	0
1	4	1	0
1	5	1	0
1	6	1	0
1	7	1	0
1	8	1	0
1	9	1	0
1	10	1	0
1	11	1	0
1	12	1	0
1	13	1	0
1	14	1	0
